id,korean,romanization,english,partOfSpeech,topikLevel,category,labels,lessons,sources,primarySource,sourceGroup,sourceType
kv0001,하다,ha-da,to do,verb,1,daily-life-actions,daily-life-actions,bab03|bab06|bab12|bab14|bab17|bab18|bab19|bab20,bab03|bab06|bab12|bab14|bab17|bab18|bab19|bab20|test-intermediate-1|test-level-1-2-practice|test-level-2-mock|test-level-2-practice|test-reading-skills-set|test-reading-20|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|topik-core,bab03,bab,workbook+topik
kv0002,있다,iss-da,to exist / have,adjective,1,descriptions-qualities,descriptions-qualities,bab11|bab12|bab15|bab20,bab11|bab12|bab15|bab20|test-intermediate-1|test-level-1-2-practice|test-level-2-mock|test-level-2-practice|test-reading-skills-set|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,bab11,bab,workbook+topik
kv0003,수,su,ability / way,dependent noun,1,general-core,general-core,bab12|bab16|bab18,bab12|bab16|bab18|test-level-2-mock|test-level-2-practice|test-reading-skills-set|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,bab12,bab,workbook+topik
kv0004,나,na,I / me (casual),pronoun,1,questions-pronouns,questions-pronouns,bab01|bab03|bab04|bab05|bab06|bab07|bab08|bab09|bab10|bab11|bab12|bab13|bab14|bab15|bab16|bab17|bab18|bab19|bab20,bab01|bab03|bab04|bab05|bab06|bab07|bab08|bab09|bab10|bab11|bab12|bab13|bab14|bab15|bab16|bab17|bab18|bab19|bab20|test-intermediate-1|test-level-1-2-practice|test-level-2-mock|test-reading-skills-set|test-reading-20|test-intermediate-advanced-2|test-topik-ii-level-3-practice-2|topik-core,bab01,bab,workbook+topik
kv0005,그,geu,that / he,determiner/pronoun,1,questions-pronouns,questions-pronouns|clothing-appearance,bab10|bab12|bab19|bab20,bab10|bab12|bab19|bab20|test-intermediate-reading-1|topik-core,bab10,bab,workbook+topik
kv0006,없다,eops-da,to not exist / not have,adjective,1,descriptions-qualities,descriptions-qualities,bab12,bab12|test-intermediate-1|test-level-2-mock|test-level-2-practice|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,bab12,bab,workbook+topik
kv0007,사람,sa-ram,person,noun,1,people-occupations,people-occupations,bab01|bab02|bab05|bab06,topik1-vocab|bab01|bab02|bab05|bab06|test-level-1-2-practice|test-level-2-practice|test-reading-20|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0008,우리,u-ri,we / our,pronoun,1,questions-pronouns,questions-pronouns,bab06|bab10|bab11|bab14|bab15|bab17|bab18|bab19|bab20,bab06|bab10|bab11|bab14|bab15|bab17|bab18|bab19|bab20|test-level-2-practice|test-reading-skills-set|topik-core,bab06,bab,workbook+topik
kv0009,보다,bo-da,to see / watch,verb,1,verbs-actions,verbs-actions,bab03|bab04|bab06|bab11|bab13|bab14|bab20,topik1-vocab|bab03|bab04|bab06|bab11|bab13|bab14|bab20|test-intermediate-1|test-level-1-2-practice|test-level-2-mock|test-level-2-practice|test-reading-20|test-intermediate-advanced-2|test-intermediate-reading-3|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0010,가다,ga-da,to go,verb,1,travel-movement,travel-movement,bab03|bab04|bab06|bab09|bab10|bab11|bab13|bab14|bab15|bab17|bab20,topik1-vocab|bab03|bab04|bab06|bab09|bab10|bab11|bab13|bab14|bab15|bab17|bab20|test-intermediate-1|test-level-1-2-practice|test-level-2-mock|test-level-2-practice|test-reading-skills-set|test-reading-20|test-intermediate-advanced-2|test-intermediate-reading-3|test-intermediate-reading-1|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
